26 24
1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2
2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	5	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	6	-1	-2	-2	-2	-2	-2	-2	-1	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	8	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	-2	-1	-2	9	-2	-2	-2	-2	-1	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	11	10	11	11	11	11	11	11	-1	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	17	-1	18	14	14	12	13	15	-1	16	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	-2	-1	-2	-2	-2	19	-2	-2	-1	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	21	20	20	-1	-1	-1	-1	-1	-1	20	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	-2	-1	-2	-2	-2	-2	22	-2	-1	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	-2	-1	-2	-2	-2	-2	-2	23	-1	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	25	-1	25	25	25	25	25	25	24	25	25	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	-2	-1	-2	-2	-2	-2	-2	-2	-1	26	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2
27	27	-1	27	27	27	27	27	27	-1	27	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	28	-1	28	28	28	28	28	28	-1	28	29	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-2	30	30	-1	-1	-1	-1	-1	-1	30	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-2	31	31	-1	-1	-1	-1	-1	-1	31	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	32	32	32	32	32	-1	-1	-1	-1	-1
-1	-1	-1	-1	-2	-2	-1	-1	-1	-1	-1	-1	-2	-1	35	36	38	34	37	-1	-1	-1	-1	-1
-1	-1	-1	-2	39	39	-1	-1	-1	-1	-1	-1	39	-1	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1
-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	42	42	42	42	40	41	-1	-1	-1
-1	-1	-1	-2	43	43	-1	-1	-1	-1	-1	-1	43	-1	-2	-2	-2	-2	-2	-2	-2	-1	-1	-1
-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	46	46	46	46	46	46	44	45	-1
-1	-1	-1	-2	48	49	-1	-1	-1	-1	-1	-1	47	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-1
